Station Name,Iso Code,Date,Hour,Minute,Rain
Alexanderbay Lichen Field,ZA,2023-11-01,0,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,0,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,0,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,1,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,1,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,1,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,1,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,2,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,2,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,2,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,2,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,3,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,3,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,3,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,3,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,4,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,4,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,4,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,4,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,5,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,5,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,5,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,5,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,6,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,6,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,6,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,6,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,7,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,7,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,7,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,7,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,8,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,8,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,8,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,8,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,9,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,9,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,9,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,9,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,10,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,10,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,10,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,10,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,11,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,11,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,11,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,11,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,12,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,12,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,12,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,12,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,13,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,13,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,13,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,13,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,14,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,14,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,14,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,14,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,15,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,15,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,15,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,15,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,16,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,16,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,16,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,16,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,17,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,17,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,17,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,17,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,18,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,18,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,18,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,18,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,19,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,19,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,19,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,19,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,20,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,20,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,20,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,20,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,21,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,21,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,21,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,21,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,22,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,22,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,22,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,22,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,23,0,0
Alexanderbay Lichen Field,ZA,2023-11-01,23,15,0
Alexanderbay Lichen Field,ZA,2023-11-01,23,30,0
Alexanderbay Lichen Field,ZA,2023-11-01,23,45,0
Alexanderbay Lichen Field,ZA,2023-11-01,24,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,0,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,0,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,0,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,1,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,1,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,1,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,1,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,2,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,2,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,2,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,2,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,3,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,3,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,3,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,3,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,4,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,4,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,4,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,4,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,5,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,5,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,5,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,5,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,6,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,6,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,6,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,6,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,7,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,7,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,7,30,0
Alexanderbay Lichen Field,ZA,2023-11-02,7,45,0
Alexanderbay Lichen Field,ZA,2023-11-02,8,0,0
Alexanderbay Lichen Field,ZA,2023-11-02,8,15,0
Alexanderbay Lichen Field,ZA,2023-11-02,8,30,0
