Station Name,Iso Code,Date,Hour,Minute,Rain
Alex Muranda Livestock Development Centre,NA,2023-11-01,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,15,0,3.4
Alex Muranda Livestock Development Centre,NA,2023-11-01,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-01,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,3,0,1.4
Alex Muranda Livestock Development Centre,NA,2023-11-02,4,0,0.9
Alex Muranda Livestock Development Centre,NA,2023-11-02,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,7,0,0.1
Alex Muranda Livestock Development Centre,NA,2023-11-02,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-02,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-03,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,21,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,22,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,23,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-04,24,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,1,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,2,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,3,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,4,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,5,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,6,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,7,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,8,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,9,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,10,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,11,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,12,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,13,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,14,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,15,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,16,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,17,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,18,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,19,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,20,0,0
Alex Muranda Livestock Development Centre,NA,2023-11-05,21,0,0
