Station Name,Iso Code,Date,Hour,Minute,Air Temperature (°C),Rain (mm)
Alexanderbay Lichen Field,ZA,12/1/2023,0,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,0,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,0,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,1,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,1,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,1,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,1,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,2,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,2,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,2,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,2,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,3,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,3,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,3,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,3,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,4,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,4,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,4,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,4,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,5,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,5,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,5,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,5,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,6,0,-9999,0.2
Alexanderbay Lichen Field,ZA,12/1/2023,6,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,6,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,6,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,7,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,7,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,7,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,7,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,8,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,8,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,8,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,8,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,9,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,9,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,9,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,9,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,10,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,10,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,10,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,10,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,11,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,11,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,11,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,11,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,12,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,12,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,12,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,12,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,13,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,13,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,13,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,13,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,14,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,14,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,14,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,14,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,15,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,15,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,15,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,15,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,16,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,16,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,16,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,16,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,17,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,17,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,17,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,17,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,18,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,18,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,18,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,18,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,19,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,19,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,19,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,19,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,20,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,20,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,20,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,20,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,21,0,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,21,15,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,21,30,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,21,45,-9999,0
Alexanderbay Lichen Field,ZA,12/1/2023,22,0,-9999,0
