Station Name,Iso Code,Date,Hour,Minute,Air Temperature,Rain
Alex Muranda Livestock Development Centre,NA,10/1/2025,1,0,22.06,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,2,0,21.59,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,3,0,22.08,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,4,0,20.11,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,5,0,20.81,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,6,0,21.64,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,7,0,20.03,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,8,0,21.51,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,9,0,23.08,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,10,0,25.4,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,11,0,28.12,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,12,0,30.28,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,13,0,32.42,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,14,0,33.59,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,15,0,34.63,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,16,0,35.42,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,17,0,35,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,18,0,35.21,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,19,0,34.22,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,20,0,31.99,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,21,0,28.96,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,22,0,27.03,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,23,0,26.19,0
Alex Muranda Livestock Development Centre,NA,10/1/2025,24,0,24.16,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,1,0,21.47,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,2,0,20.86,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,3,0,21.92,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,4,0,20.73,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,5,0,19.16,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,6,0,19.06,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,7,0,19.93,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,8,0,19.05,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,9,0,22.78,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,10,0,25.97,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,11,0,29.28,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,12,0,31.34,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,13,0,33.07,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,14,0,34.28,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,15,0,35.45,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,16,0,36.1,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,17,0,36.2,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,18,0,36.1,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,19,0,34.98,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,20,0,32.83,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,21,0,28.11,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,22,0,24.23,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,23,0,22.19,0
Alex Muranda Livestock Development Centre,NA,10/2/2025,24,0,22.65,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,1,0,21.19,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,2,0,23.22,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,3,0,21.48,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,4,0,19.03,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,5,0,16.67,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,6,0,15.07,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,7,0,14.28,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,8,0,16.54,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,9,0,24.39,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,10,0,29.14,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,11,0,31.85,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,12,0,33.42,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,13,0,34.49,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,14,0,35.63,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,15,0,36.49,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,16,0,36.79,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,17,0,37.15,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,18,0,37.02,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,19,0,36,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,20,0,33.29,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,21,0,27.02,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,22,0,23.94,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,23,0,22.64,0
Alex Muranda Livestock Development Centre,NA,10/3/2025,24,0,24.8,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,1,0,24.9,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,2,0,23.02,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,3,0,20.77,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,4,0,18.94,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,5,0,19.03,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,6,0,19.86,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,7,0,17.98,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,8,0,15.23,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,9,0,22.87,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,10,0,27.54,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,11,0,30.42,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,12,0,32.44,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,13,0,34.44,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,14,0,35.79,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,15,0,36.57,0
Alex Muranda Livestock Development Centre,NA,10/4/2025,16,0,37.31,0
