Station Name,Iso Code,Date,Hour,Minute,Air Temperature,Rain
Alpha,ZA,1/1/2026,0,15,-9999,0
Alpha,ZA,1/1/2026,0,30,-9999,0
Alpha,ZA,1/1/2026,0,45,-9999,0
Alpha,ZA,1/1/2026,1,0,-9999,0
Alpha,ZA,1/1/2026,1,15,-9999,0
Alpha,ZA,1/1/2026,1,30,-9999,0
Alpha,ZA,1/1/2026,1,45,-9999,0
Alpha,ZA,1/1/2026,2,0,-9999,0
Alpha,ZA,1/1/2026,2,15,-9999,0
Alpha,ZA,1/1/2026,2,30,-9999,0
Alpha,ZA,1/1/2026,2,45,-9999,0
Alpha,ZA,1/1/2026,3,0,-9999,0
Alpha,ZA,1/1/2026,3,15,-9999,0
Alpha,ZA,1/1/2026,3,30,-9999,0
Alpha,ZA,1/1/2026,3,45,-9999,0
Alpha,ZA,1/1/2026,4,0,-9999,0
Alpha,ZA,1/1/2026,4,15,-9999,0
Alpha,ZA,1/1/2026,4,30,-9999,0
Alpha,ZA,1/1/2026,4,45,-9999,0
Alpha,ZA,1/1/2026,5,0,-9999,0
Alpha,ZA,1/1/2026,5,15,-9999,0
Alpha,ZA,1/1/2026,5,30,-9999,0
Alpha,ZA,1/1/2026,5,45,-9999,0
Alpha,ZA,1/1/2026,6,0,-9999,0
Alpha,ZA,1/1/2026,6,15,-9999,0
Alpha,ZA,1/1/2026,6,30,-9999,0
Alpha,ZA,1/1/2026,6,45,-9999,0
Alpha,ZA,1/1/2026,7,0,-9999,0
Alpha,ZA,1/1/2026,7,15,-9999,0
Alpha,ZA,1/1/2026,7,30,-9999,0
Alpha,ZA,1/1/2026,7,45,-9999,0
Alpha,ZA,1/1/2026,8,0,-9999,0
Alpha,ZA,1/1/2026,8,15,-9999,0
Alpha,ZA,1/1/2026,8,30,-9999,0
Alpha,ZA,1/1/2026,8,45,-9999,0
Alpha,ZA,1/1/2026,9,0,-9999,0
Alpha,ZA,1/1/2026,9,15,-9999,0
Alpha,ZA,1/1/2026,9,30,-9999,0
Alpha,ZA,1/1/2026,9,45,-9999,0
Alpha,ZA,1/1/2026,10,0,-9999,0
Alpha,ZA,1/1/2026,10,15,-9999,0
Alpha,ZA,1/1/2026,10,30,-9999,0
Alpha,ZA,1/1/2026,10,45,-9999,0
Alpha,ZA,1/1/2026,11,0,-9999,0
Alpha,ZA,1/1/2026,11,15,-9999,0
Alpha,ZA,1/1/2026,11,30,-9999,0
Alpha,ZA,1/1/2026,11,45,-9999,0
Alpha,ZA,1/1/2026,12,0,-9999,0
Alpha,ZA,1/1/2026,12,15,-9999,0
Alpha,ZA,1/1/2026,12,30,-9999,0
Alpha,ZA,1/1/2026,12,45,-9999,0
Alpha,ZA,1/1/2026,13,0,-9999,0
Alpha,ZA,1/1/2026,13,15,-9999,0
Alpha,ZA,1/1/2026,13,30,-9999,0
Alpha,ZA,1/1/2026,13,45,-9999,0
Alpha,ZA,1/1/2026,14,0,-9999,0
Alpha,ZA,1/1/2026,14,15,-9999,0
Alpha,ZA,1/1/2026,14,30,-9999,0
Alpha,ZA,1/1/2026,14,45,-9999,0
Alpha,ZA,1/1/2026,15,0,-9999,0
Alpha,ZA,1/1/2026,15,15,-9999,0
Alpha,ZA,1/1/2026,15,30,-9999,0
Alpha,ZA,1/1/2026,15,45,-9999,0
Alpha,ZA,1/1/2026,16,0,-9999,0
Alpha,ZA,1/1/2026,16,15,-9999,0
Alpha,ZA,1/1/2026,16,30,-9999,0
Alpha,ZA,1/1/2026,16,45,-9999,0
Alpha,ZA,1/1/2026,17,0,-9999,0
Alpha,ZA,1/1/2026,17,15,-9999,0
Alpha,ZA,1/1/2026,17,30,-9999,0
Alpha,ZA,1/1/2026,17,45,-9999,0
Alpha,ZA,1/1/2026,18,0,-9999,0
Alpha,ZA,1/1/2026,18,15,-9999,0
Alpha,ZA,1/1/2026,18,30,-9999,0
Alpha,ZA,1/1/2026,18,45,-9999,0
Alpha,ZA,1/1/2026,19,0,-9999,0
Alpha,ZA,1/1/2026,19,15,-9999,0
Alpha,ZA,1/1/2026,19,30,-9999,0
Alpha,ZA,1/1/2026,19,45,-9999,0
Alpha,ZA,1/1/2026,20,0,-9999,0
Alpha,ZA,1/1/2026,20,15,-9999,0
Alpha,ZA,1/1/2026,20,30,-9999,0
Alpha,ZA,1/1/2026,20,45,-9999,0
Alpha,ZA,1/1/2026,21,0,-9999,0
Alpha,ZA,1/1/2026,21,15,-9999,0
Alpha,ZA,1/1/2026,21,30,-9999,0
Alpha,ZA,1/1/2026,21,45,-9999,0
Alpha,ZA,1/1/2026,22,0,-9999,0
Alpha,ZA,1/1/2026,22,15,-9999,0
Alpha,ZA,1/1/2026,22,30,-9999,0
Alpha,ZA,1/1/2026,22,45,-9999,0
Alpha,ZA,1/1/2026,23,0,-9999,0
Alpha,ZA,1/1/2026,23,15,-9999,0
Alpha,ZA,1/1/2026,23,30,-9999,0
Alpha,ZA,1/1/2026,23,45,-9999,0
Alpha,ZA,1/1/2026,24,0,-9999,0
Alpha,ZA,1/2/2026,0,15,-9999,0
Alpha,ZA,1/2/2026,0,30,-9999,0
Alpha,ZA,1/2/2026,0,45,-9999,0
Alpha,ZA,1/2/2026,1,0,-9999,0
Alpha,ZA,1/2/2026,1,15,-9999,0
Alpha,ZA,1/2/2026,1,30,-9999,0
Alpha,ZA,1/2/2026,1,45,-9999,0
Alpha,ZA,1/2/2026,2,0,-9999,0
Alpha,ZA,1/2/2026,2,15,-9999,0
Alpha,ZA,1/2/2026,2,30,-9999,0
Alpha,ZA,1/2/2026,2,45,-9999,0
Alpha,ZA,1/2/2026,3,0,-9999,0
Alpha,ZA,1/2/2026,3,15,-9999,0
Alpha,ZA,1/2/2026,3,30,-9999,0
Alpha,ZA,1/2/2026,3,45,-9999,0
Alpha,ZA,1/2/2026,4,0,-9999,0
Alpha,ZA,1/2/2026,4,15,-9999,0
Alpha,ZA,1/2/2026,4,30,-9999,0
Alpha,ZA,1/2/2026,4,45,-9999,0
Alpha,ZA,1/2/2026,5,0,-9999,0
Alpha,ZA,1/2/2026,5,15,-9999,0
Alpha,ZA,1/2/2026,5,30,-9999,0
Alpha,ZA,1/2/2026,5,45,-9999,0
Alpha,ZA,1/2/2026,6,0,-9999,0
Alpha,ZA,1/2/2026,6,15,-9999,0
Alpha,ZA,1/2/2026,6,30,-9999,0
Alpha,ZA,1/2/2026,6,45,-9999,0
Alpha,ZA,1/2/2026,7,0,-9999,0
Alpha,ZA,1/2/2026,7,15,-9999,0
Alpha,ZA,1/2/2026,7,30,-9999,0
Alpha,ZA,1/2/2026,7,45,-9999,0
